"no.choice.cte","wa","ca","sma","smfq","smfd","smcr","smcc","sna","snfm","snfd","sncl","sncc","cost"
0,50,30,50,1,0,1,0,80,0,1,1,0,100
0,50,30,50,0,1,0,1,50,1,0,1,0,100
1,0,0,0,0,0,0,0,0,0,0,0,0,0
0,80,80,50,1,0,0,1,50,0,1,1,0,250
0,80,80,80,1,0,0,1,30,0,1,0,1,100
1,0,0,0,0,0,0,0,0,0,0,0,0,0
0,80,50,0,0,0,0,0,0,0,0,0,0,100
0,80,50,30,1,0,0,1,50,0,1,1,0,1250
1,0,0,0,0,0,0,0,0,0,0,0,0,0
0,30,30,50,1,0,0,1,50,1,0,0,1,1250
0,30,80,30,1,0,1,0,50,1,0,0,1,250
1,0,0,0,0,0,0,0,0,0,0,0,0,0
0,80,50,0,0,0,0,0,30,1,0,0,1,100
0,80,50,30,1,0,1,0,80,0,1,1,0,1250
1,0,0,0,0,0,0,0,0,0,0,0,0,0
0,50,50,0,0,0,0,0,50,1,0,0,1,250
0,50,50,80,0,1,0,1,80,1,0,1,0,100
1,0,0,0,0,0,0,0,0,0,0,0,0,0
0,30,80,30,1,0,0,1,80,1,0,1,0,1250
0,30,80,30,0,1,1,0,30,1,0,1,0,250
1,0,0,0,0,0,0,0,0,0,0,0,0,0
0,80,80,0,0,0,0,0,80,0,1,1,0,250
0,80,80,80,0,1,1,0,0,0,0,0,0,1250
1,0,0,0,0,0,0,0,0,0,0,0,0,0
0,80,50,50,1,0,0,1,80,1,0,0,1,250
0,80,80,50,1,0,0,1,50,1,0,0,1,1250
1,0,0,0,0,0,0,0,0,0,0,0,0,0
0,50,50,50,1,0,0,1,80,0,1,0,1,250
0,50,50,80,1,0,0,1,50,0,1,0,1,100
1,0,0,0,0,0,0,0,0,0,0,0,0,0
0,30,50,0,0,0,0,0,30,1,0,1,0,100
0,30,50,50,0,1,0,1,80,1,0,1,0,250
1,0,0,0,0,0,0,0,0,0,0,0,0,0
0,50,30,80,0,1,1,0,80,0,1,1,0,250
0,80,30,80,0,1,1,0,30,0,1,1,0,100
1,0,0,0,0,0,0,0,0,0,0,0,0,0
0,50,30,50,0,1,0,1,50,1,0,0,1,100
0,50,30,80,1,0,0,1,0,0,0,0,0,100
1,0,0,0,0,0,0,0,0,0,0,0,0,0
0,30,50,50,1,0,1,0,80,1,0,1,0,1250
0,30,50,50,0,1,1,0,50,1,0,1,0,100
1,0,0,0,0,0,0,0,0,0,0,0,0,0
0,30,80,30,1,0,0,1,50,1,0,0,1,1250
0,30,80,50,1,0,0,1,50,0,1,1,0,250
1,0,0,0,0,0,0,0,0,0,0,0,0,0
0,30,50,50,0,1,0,1,80,1,0,0,1,1250
0,80,50,50,0,1,0,1,30,1,0,1,0,250
1,0,0,0,0,0,0,0,0,0,0,0,0,0
0,80,80,0,0,0,0,0,80,0,1,1,0,250
0,80,80,30,0,1,0,1,30,0,1,0,1,1250
1,0,0,0,0,0,0,0,0,0,0,0,0,0
0,80,50,0,0,0,0,0,0,0,0,0,0,100
0,80,50,80,0,1,1,0,30,0,1,0,1,1250
1,0,0,0,0,0,0,0,0,0,0,0,0,0
0,30,80,0,0,0,0,0,30,0,1,0,1,100
0,30,80,80,0,1,0,1,30,1,0,1,0,250
1,0,0,0,0,0,0,0,0,0,0,0,0,0
0,30,80,0,0,0,0,0,80,1,0,1,0,100
0,80,80,50,0,1,1,0,80,1,0,1,0,250
1,0,0,0,0,0,0,0,0,0,0,0,0,0
0,30,80,80,0,1,1,0,30,1,0,0,1,250
0,50,80,50,0,1,1,0,30,1,0,0,1,250
1,0,0,0,0,0,0,0,0,0,0,0,0,0
0,50,30,30,0,1,1,0,0,0,0,0,0,100
0,50,30,50,0,1,1,0,80,0,1,0,1,250
1,0,0,0,0,0,0,0,0,0,0,0,0,0
0,80,50,0,0,0,0,0,50,0,1,0,1,1250
0,80,50,30,0,1,0,1,30,1,0,1,0,250
1,0,0,0,0,0,0,0,0,0,0,0,0,0
0,50,30,30,1,0,0,1,80,1,0,0,1,250
0,50,30,80,0,1,1,0,50,0,1,0,1,250
1,0,0,0,0,0,0,0,0,0,0,0,0,0
0,80,30,30,0,1,0,1,30,1,0,0,1,250
0,80,30,80,0,1,1,0,80,0,1,1,0,250
1,0,0,0,0,0,0,0,0,0,0,0,0,0
0,50,50,30,1,0,1,0,0,0,0,0,0,100
0,50,50,50,0,1,1,0,80,0,1,0,1,1250
1,0,0,0,0,0,0,0,0,0,0,0,0,0
0,50,30,30,1,0,0,1,80,1,0,0,1,250
0,50,30,80,1,0,0,1,80,0,1,1,0,250
1,0,0,0,0,0,0,0,0,0,0,0,0,0
0,50,50,80,0,1,0,1,30,1,0,1,0,250
0,50,80,80,0,1,0,1,0,0,0,0,0,1250
1,0,0,0,0,0,0,0,0,0,0,0,0,0
0,50,80,80,1,0,1,0,30,0,1,1,0,1250
0,80,80,80,1,0,1,0,50,1,0,1,0,250
1,0,0,0,0,0,0,0,0,0,0,0,0,0
0,50,50,50,0,1,1,0,50,1,0,1,0,250
0,50,50,80,1,0,0,1,0,0,0,0,0,100
1,0,0,0,0,0,0,0,0,0,0,0,0,0
0,30,50,80,0,1,0,1,30,1,0,1,0,250
0,80,50,50,1,0,0,1,30,1,0,1,0,250
1,0,0,0,0,0,0,0,0,0,0,0,0,0
0,50,50,50,1,0,1,0,80,0,1,0,1,250
0,80,50,50,1,0,0,1,80,0,1,0,1,1250
1,0,0,0,0,0,0,0,0,0,0,0,0,0
0,50,80,30,1,0,1,0,80,1,0,1,0,100
0,50,80,30,1,0,0,1,50,0,1,1,0,100
1,0,0,0,0,0,0,0,0,0,0,0,0,0
0,50,30,50,0,1,1,0,80,1,0,1,0,250
0,50,30,50,0,1,0,1,30,1,0,1,0,250
1,0,0,0,0,0,0,0,0,0,0,0,0,0
0,80,30,30,1,0,1,0,50,0,1,1,0,1250
0,80,30,30,0,1,0,1,30,0,1,0,1,250
1,0,0,0,0,0,0,0,0,0,0,0,0,0
0,80,80,30,1,0,0,1,50,0,1,0,1,250
0,80,80,80,0,1,1,0,0,0,0,0,0,250
1,0,0,0,0,0,0,0,0,0,0,0,0,0
0,50,50,50,1,0,0,1,80,1,0,1,0,250
0,50,50,50,0,1,1,0,30,1,0,0,1,250
1,0,0,0,0,0,0,0,0,0,0,0,0,0
0,80,50,30,0,1,1,0,30,0,1,0,1,250
0,80,50,80,1,0,0,1,50,0,1,1,0,1250
1,0,0,0,0,0,0,0,0,0,0,0,0,0
0,30,80,30,0,1,1,0,30,1,0,1,0,250
0,30,80,80,1,0,1,0,30,0,1,0,1,1250
1,0,0,0,0,0,0,0,0,0,0,0,0,0
0,80,30,80,0,1,0,1,30,0,1,1,0,100
0,80,50,80,0,1,1,0,30,0,1,1,0,100
1,0,0,0,0,0,0,0,0,0,0,0,0,0
0,50,30,30,0,1,1,0,50,1,0,0,1,100
0,50,50,30,0,1,1,0,50,1,0,1,0,100
1,0,0,0,0,0,0,0,0,0,0,0,0,0
0,50,30,50,1,0,0,1,80,1,0,0,1,250
0,80,30,30,0,1,1,0,80,1,0,0,1,1250
1,0,0,0,0,0,0,0,0,0,0,0,0,0
0,80,80,50,1,0,1,0,80,0,1,0,1,1250
0,80,80,80,1,0,1,0,30,0,1,0,1,250
1,0,0,0,0,0,0,0,0,0,0,0,0,0
0,80,80,50,1,0,1,0,30,1,0,0,1,250
0,80,80,80,0,1,0,1,0,0,0,0,0,1250
1,0,0,0,0,0,0,0,0,0,0,0,0,0
0,30,30,30,1,0,1,0,50,1,0,0,1,1250
0,30,30,30,1,0,0,1,0,0,0,0,0,100
1,0,0,0,0,0,0,0,0,0,0,0,0,0
0,50,50,50,1,0,0,1,80,0,1,1,0,250
0,80,50,80,1,0,0,1,80,0,1,1,0,1250
1,0,0,0,0,0,0,0,0,0,0,0,0,0
0,50,30,80,0,1,1,0,80,0,1,1,0,250
0,80,30,30,0,1,1,0,80,0,1,1,0,250
1,0,0,0,0,0,0,0,0,0,0,0,0,0
0,30,80,50,1,0,0,1,50,1,0,0,1,250
0,30,80,80,0,1,1,0,50,0,1,1,0,250
1,0,0,0,0,0,0,0,0,0,0,0,0,0
